Date,datetime,cash_type,card,Value,coffee_name,Return,SMA_7,SMA_30,Vol_20
01-03-2024,15:50.5,card,ANON-0000-0000-0001,38.7,Latte,,38.7,38.7,
01-03-2024,19:22.5,card,ANON-0000-0000-0002,38.7,Hot Chocolate,0,38.7,38.7,
01-03-2024,20:18.1,card,ANON-0000-0000-0002,38.7,Hot Chocolate,0,38.7,38.7,
01-03-2024,46:33.0,card,ANON-0000-0000-0003,28.9,Americano,-0.253229974,36.25,36.25,
01-03-2024,48:14.6,card,ANON-0000-0000-0004,38.7,Latte,0.339100346,36.74,36.74,
01-03-2024,39:47.7,card,ANON-0000-0000-0005,33.8,Americano with Milk,-0.126614987,36.25,36.25,
01-03-2024,19:02.8,card,ANON-0000-0000-0006,38.7,Hot Chocolate,0.144970414,36.6,36.6,
01-03-2024,39:03.6,card,ANON-0000-0000-0007,33.8,Americano with Milk,-0.126614987,35.9,36.25,
01-03-2024,22:01.8,card,ANON-0000-0000-0008,38.7,Cocoa,0.144970414,35.9,36.52222222,
01-03-2024,23:15.9,card,ANON-0000-0000-0008,33.8,Americano with Milk,-0.126614987,35.2,36.25,
01-03-2024,29:17.4,card,ANON-0000-0000-0009,33.8,Americano with Milk,0,35.9,36.02727273,
02-03-2024,37:24.5,card,ANON-0000-0000-0014,33.8,Americano with Milk,0,35.2,35.84166667,
02-03-2024,38:35.5,card,ANON-0000-0000-0013,28.9,Americano,-0.144970414,34.5,35.30769231,
02-03-2024,59:45.5,card,ANON-0000-0000-0012,33.8,Americano with Milk,0.169550173,33.8,35.2,
02-03-2024,34:55.0,card,ANON-0000-0000-0004,28.9,Americano,-0.144970414,33.1,34.78,
02-03-2024,30:35.7,cash,,40,Latte,0.384083045,33.28571429,35.10625,
02-03-2024,22:07.0,card,ANON-0000-0000-0010,28.9,Americano,-0.2775,32.58571429,34.74117647,
02-03-2024,41:41.2,card,ANON-0000-0000-0011,33.8,Americano with Milk,0.169550173,32.58571429,34.68888889,
03-03-2024,08:05.0,card,ANON-0000-0000-0020,38.7,Hot Chocolate,0.144970414,33.28571429,34.9,
03-03-2024,04:27.9,card,ANON-0000-0000-0020,33.8,Americano with Milk,-0.126614987,33.98571429,34.845,
03-03-2024,08:45.9,card,ANON-0000-0000-0019,28.9,Cortado,-0.144970414,33.28571429,34.56190476,0.185149653
03-03-2024,06:40.3,card,ANON-0000-0000-0018,38.7,Cocoa,0.339100346,34.68571429,34.75,0.199962647
03-03-2024,03:23.4,card,ANON-0000-0000-0020,33.8,Americano with Milk,-0.126614987,33.8,34.70869565,0.202556967
03-03-2024,26:56.1,card,ANON-0000-0000-0012,28.9,Americano,-0.144970414,33.8,34.46666667,0.196454112
03-03-2024,33:56.1,card,ANON-0000-0000-0016,28.9,Cortado,0,33.1,34.244,0.181264426
03-03-2024,27:18.6,card,ANON-0000-0000-0015,38.7,Latte,0.339100346,33.1,34.41538462,0.193591864
03-03-2024,10:44.0,cash,,40,Latte,0.033591731,33.98571429,34.62222222,0.191508175
03-03-2024,09:36.3,card,ANON-0000-0000-0017,38.7,Hot Chocolate,-0.0325,35.38571429,34.76785714,0.188904876
04-03-2024,03:52.0,card,ANON-0000-0000-0001,38.7,Latte,0,35.38571429,34.90344828,0.186737595
